GradeDate,Firm,ToGrade,FromGrade,Action,priceTargetAction,currentPriceTarget,priorPriceTarget,rating,ticker,ret_1m,ret_3m,ret_6m,spy_ret_1m,spy_ret_3m,spy_ret_6m,excess_ret_1m,excess_ret_3m,excess_ret_6m
2026-06-01 17:39:58,DA Davidson,Buy,Buy,main,Maintains,300.0,300.0,buy,NVDA,-0.12459795095607384,0.008309659904996963,,-0.7769186463322761,-0.7769186463322761,-0.7769186463322761,0.6523206953762023,0.7852283062372731,
2026-05-27 14:57:01,Tigress Financial,Strong Buy,Strong Buy,main,Raises,425.0,360.0,buy,NVDA,-0.08892769867741361,0.01658604506538837,,-0.775557503224273,-0.775557503224273,-0.775557503224273,0.6866298045468594,0.7921435482896614,
2026-05-21 18:52:04,UBS,Buy,Buy,main,Raises,280.0,275.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 17:52:22,Evercore ISI Group,Outperform,Outperform,main,Raises,413.0,352.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 16:43:01,DA Davidson,Buy,Buy,main,Maintains,300.0,300.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 16:42:36,Truist Securities,Buy,Buy,reit,Raises,307.0,287.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 15:55:29,RBC Capital,Outperform,Outperform,main,Raises,270.0,250.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 15:12:23,Cantor Fitzgerald,Overweight,Overweight,reit,Maintains,350.0,350.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 15:03:33,Wedbush,Outperform,Outperform,main,Raises,330.0,300.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 14:56:09,Stifel,Buy,Buy,main,Raises,282.0,250.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 14:32:35,JP Morgan,Overweight,Overweight,main,Raises,280.0,265.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 14:11:36,Jefferies,Buy,Buy,main,Raises,300.0,275.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 12:46:53,Morgan Stanley,Overweight,Overweight,main,Raises,288.0,285.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 12:33:01,Rosenblatt,Buy,Buy,main,Maintains,325.0,325.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 11:39:16,Keybanc,Overweight,Overweight,main,Raises,310.0,300.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 11:14:05,Benchmark,Buy,Buy,main,Raises,335.0,250.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 11:07:36,B of A Securities,Buy,Buy,main,Raises,350.0,320.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 11:02:33,Baird,Outperform,Outperform,main,Raises,500.0,300.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-21 10:03:01,Needham,Buy,Buy,main,Raises,270.0,240.0,buy,NVDA,-0.029892858390855932,-0.030683217038109663,,-0.7728498372530906,-0.7728498372530906,-0.7728498372530906,0.7429569788622347,0.742166620214981,
2026-05-19 14:06:35,HSBC,Buy,Buy,main,Raises,325.0,295.0,buy,NVDA,-0.06522950320529163,-0.02849267492434778,,-0.7716121649195088,-0.7716121649195088,-0.7716121649195088,0.7063826617142172,0.743119489995161,
2026-05-18 15:18:45,DA Davidson,Buy,Buy,main,Raises,300.0,250.0,buy,NVDA,-0.0531110560366865,-0.012675906460518858,,-0.7691473973806312,-0.7691473973806312,-0.7691473973806312,0.7160363413439447,0.7564714909201123,
2026-05-18 12:39:06,Morgan Stanley,Overweight,Overweight,main,Raises,285.0,260.0,buy,NVDA,-0.0531110560366865,-0.012675906460518858,,-0.7691473973806312,-0.7691473973806312,-0.7691473973806312,0.7160363413439447,0.7564714909201123,
2026-05-18 12:22:58,Wedbush,Outperform,Outperform,reit,Maintains,300.0,300.0,buy,NVDA,-0.0531110560366865,-0.012675906460518858,,-0.7691473973806312,-0.7691473973806312,-0.7691473973806312,0.7160363413439447,0.7564714909201123,
2026-05-18 11:28:06,Keybanc,Overweight,Overweight,main,Raises,300.0,275.0,buy,NVDA,-0.0531110560366865,-0.012675906460518858,,-0.7691473973806312,-0.7691473973806312,-0.7691473973806312,0.7160363413439447,0.7564714909201123,
2026-05-15 16:52:31,TD Cowen,Buy,Buy,main,Raises,275.0,235.0,buy,NVDA,-0.0659782178077515,0.013279183629723782,,-0.7706891051156994,-0.7706891051156994,-0.7706891051156994,0.704710887307948,0.7839682887454232,
2026-05-14 20:55:49,UBS,Buy,Buy,main,Raises,275.0,245.0,buy,NVDA,-0.056019939595043665,-0.00021204247881458752,,-0.7708578017701373,-0.7708578017701373,-0.7708578017701373,0.7148378621750936,0.7706457592913227,
2026-05-14 16:22:25,RBC Capital,Outperform,Outperform,reit,Maintains,250.0,250.0,buy,NVDA,-0.056019939595043665,-0.00021204247881458752,,-0.7708578017701373,-0.7708578017701373,-0.7708578017701373,0.7148378621750936,0.7706457592913227,
2026-05-14 12:38:36,Cantor Fitzgerald,Overweight,Overweight,main,Raises,350.0,300.0,buy,NVDA,-0.056019939595043665,-0.00021204247881458752,,-0.7708578017701373,-0.7708578017701373,-0.7708578017701373,0.7148378621750936,0.7706457592913227,
2026-05-12 13:35:32,Wells Fargo,Overweight,Overweight,main,Raises,315.0,265.0,buy,NVDA,-0.05815169098869631,-0.0011841197520588006,,-0.7719582260689878,-0.7719582260689878,-0.7719582260689878,0.7138065350802915,0.770774106316929,
2026-03-31 05:55:57,Benchmark,Buy,Buy,reit,Maintains,250.0,250.0,buy,NVDA,0.12916069314465198,0.1255207569647097,,-0.7418224480377061,-0.7418224480377061,-0.7418224480377061,0.8709831411823581,0.8673432050024159,
2026-03-23 14:28:45,Rosenblatt,Buy,Buy,main,Maintains,325.0,325.0,buy,NVDA,0.18875571526613513,0.1371685695585141,,-0.7410762441345882,-0.7410762441345882,-0.7410762441345882,0.9298319594007233,0.8782448136931023,
2026-03-23 12:47:43,Cantor Fitzgerald,Overweight,Overweight,reit,Maintains,300.0,300.0,buy,NVDA,0.18875571526613513,0.1371685695585141,,-0.7410762441345882,-0.7410762441345882,-0.7410762441345882,0.9298319594007233,0.8782448136931023,
2026-03-19 09:51:56,Raymond James,Strong Buy,Strong Buy,main,Raises,323.0,291.0,buy,NVDA,0.17000581371922613,0.20957257872763235,,-0.7390908785269733,-0.7390908785269733,-0.7390908785269733,0.9090966922461994,0.9486634572546057,
2026-03-18 16:26:28,Truist Securities,Buy,Buy,main,Raises,287.0,283.0,buy,NVDA,0.13160835913325952,0.1698766151558903,,-0.743040568386379,-0.743040568386379,-0.743040568386379,0.8746489275196385,0.9129171835422694,
2026-03-18 12:06:41,Rosenblatt,Buy,Buy,main,Raises,325.0,300.0,buy,NVDA,0.13160835913325952,0.1698766151558903,,-0.743040568386379,-0.743040568386379,-0.743040568386379,0.8746489275196385,0.9129171835422694,
2026-03-18 10:43:31,Needham,Buy,Buy,reit,Maintains,240.0,240.0,buy,NVDA,0.13160835913325952,0.1698766151558903,,-0.743040568386379,-0.743040568386379,-0.743040568386379,0.8746489275196385,0.9129171835422694,
2026-03-17 14:40:29,TD Cowen,Buy,Buy,reit,Maintains,235.0,235.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-17 13:53:33,RBC Capital,Outperform,Outperform,reit,Maintains,250.0,250.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-17 13:33:34,Keybanc,Overweight,Overweight,reit,Maintains,275.0,275.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-17 12:56:28,Rosenblatt,Buy,Buy,main,Maintains,300.0,300.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-17 12:46:23,Cantor Fitzgerald,Overweight,Overweight,reit,Maintains,300.0,300.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-17 11:03:58,Benchmark,Buy,Buy,reit,Maintains,250.0,250.0,buy,NVDA,0.12006647828214476,0.16926588362638284,,-0.7437468978917531,-0.7437468978917531,-0.7437468978917531,0.8638133761738979,0.9130127815181359,
2026-03-12 14:49:12,Cantor Fitzgerald,Overweight,Overweight,reit,Maintains,300.0,300.0,buy,NVDA,0.05026351773522381,0.18001448168170778,0.17304973288475303,-0.7440362850606193,-0.7440362850606193,-0.7440362850606193,0.7942998027958431,0.924050766742327,0.9170860179453723
2026-03-05 21:32:43,Tigress Financial,Strong Buy,Strong Buy,main,Raises,360.0,350.0,buy,NVDA,-0.0009582496947035911,0.17475236973489486,0.2709779789214311,-0.7481313155351724,-0.7481313155351724,-0.7481313155351724,0.7471730658404688,0.9228836852700673,1.0191092944566036
2026-03-03 14:55:46,Wedbush,Outperform,Outperform,main,Raises,300.0,230.0,buy,NVDA,-0.029449255308348594,0.19605931128817095,0.2600577136552079,-0.7528786701235989,-0.7528786701235989,-0.7528786701235989,0.7234294148152502,0.9489379814117698,1.0129363837788068
2026-02-26 21:30:21,JP Morgan,Overweight,Overweight,main,Raises,265.0,250.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 20:03:34,Citigroup,Buy,Buy,main,Raises,300.0,270.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 18:02:30,Morgan Stanley,Overweight,Overweight,main,Raises,260.0,250.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 17:28:39,TD Cowen,Buy,Buy,reit,Maintains,235.0,235.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
2026-02-26 17:07:26,Bernstein,Outperform,Outperform,main,Raises,300.0,275.0,buy,NVDA,-0.05452311415886542,0.1999068640504298,0.28821062017407534,-0.7532156391002635,-0.7532156391002635,-0.7532156391002635,0.698692524941398,0.9531225031506932,1.0414262592743389
